_id,Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
1,2024-01-01T00:00:00,0.687,1.220,4.415,8.565,92.00,25.400
2,2024-01-01T00:30:00,0.764,1.300,4.217,4.213,97.00,25.400
3,2024-01-01T01:00:00,0.749,1.330,4.384,4.126,97.00,25.350
4,2024-01-01T01:30:00,0.784,1.290,4.257,4.304,95.00,25.350
5,2024-01-01T02:00:00,0.835,1.400,4.239,5.415,97.00,25.350
6,2024-01-01T02:30:00,0.900,1.680,4.328,5.342,90.00,25.400
7,2024-01-01T03:00:00,0.968,1.410,4.582,5.053,88.00,25.400
8,2024-01-01T03:30:00,0.948,1.850,4.418,5.180,91.00,25.400
9,2024-01-01T04:00:00,0.944,1.770,4.653,5.330,105.00,25.400
10,2024-01-01T04:30:00,0.956,1.590,4.606,5.111,87.00,25.450
11,2024-01-01T05:00:00,0.975,1.730,4.703,5.327,99.00,25.450
12,2024-01-01T05:30:00,0.935,1.750,4.650,5.949,95.00,25.400
13,2024-01-01T06:00:00,0.958,1.760,4.634,5.299,88.00,25.450
14,2024-01-01T06:30:00,0.967,1.600,4.753,5.301,98.00,25.450
15,2024-01-01T07:00:00,0.922,1.520,4.771,5.448,95.00,25.450
16,2024-01-01T07:30:00,0.988,1.580,4.811,5.628,99.00,25.500
17,2024-01-01T08:00:00,0.962,1.650,4.979,5.247,95.00,25.500
18,2024-01-01T08:30:00,0.949,1.430,5.042,5.988,99.00,25.550
19,2024-01-01T09:00:00,0.920,1.790,4.828,5.613,94.00,25.550
20,2024-01-01T09:30:00,0.919,1.430,4.929,5.969,87.00,25.550
21,2024-01-01T10:00:00,0.960,1.530,4.906,5.959,98.00,25.550
22,2024-01-01T10:30:00,1.034,1.770,4.925,5.979,92.00,25.550
23,2024-01-01T11:00:00,1.022,1.760,4.806,5.954,92.00,25.550
24,2024-01-01T11:30:00,1.059,1.840,4.912,5.660,87.00,25.550
25,2024-01-01T12:00:00,1.139,1.830,4.469,5.931,94.00,25.500
26,2024-01-01T12:30:00,1.192,2.532,4.317,5.492,122.00,25.500
27,2024-01-01T13:00:00,1.315,2.260,4.291,6.884,130.00,25.450
28,2024-01-01T13:30:00,1.323,2.344,4.452,5.946,125.00,25.400
29,2024-01-01T14:00:00,1.350,2.180,4.317,4.713,160.00,25.350
30,2024-01-01T14:30:00,1.293,2.070,4.491,5.054,154.00,25.300
31,2024-01-01T15:00:00,1.391,2.613,4.517,4.929,146.00,25.300
32,2024-01-01T15:30:00,1.382,2.420,4.516,5.066,-99.9,25.250
33,2024-01-01T16:00:00,1.343,2.465,4.329,4.690,150.00,25.200
34,2024-01-01T16:30:00,1.219,2.125,4.477,5.420,126.00,25.150
35,2024-01-01T17:00:00,1.237,2.250,4.790,7.018,101.00,25.150
36,2024-01-01T17:30:00,1.153,1.830,4.719,6.782,125.00,25.100
37,2024-01-01T18:00:00,1.181,2.110,4.917,7.272,123.00,25.050
38,2024-01-01T18:30:00,1.215,2.230,4.751,6.801,125.00,25.050
39,2024-01-01T19:00:00,1.143,2.100,4.783,5.937,123.00,25.100
40,2024-01-01T19:30:00,1.132,1.780,4.841,5.676,105.00,25.000
41,2024-01-01T20:00:00,1.151,2.240,4.749,7.300,97.00,24.950
42,2024-01-01T20:30:00,1.121,1.760,4.780,5.962,97.00,25.000
43,2024-01-01T21:00:00,1.086,1.820,4.547,6.107,120.00,24.950
44,2024-01-01T21:30:00,1.137,1.940,4.515,6.784,108.00,24.900
45,2024-01-01T22:00:00,1.154,1.910,4.335,7.553,122.00,25.000
46,2024-01-01T22:30:00,1.286,2.070,4.663,7.230,120.00,25.000
47,2024-01-01T23:00:00,1.405,2.410,4.720,7.310,123.00,25.000
48,2024-01-01T23:30:00,1.360,2.230,4.714,7.771,122.00,25.000
49,2024-01-02T00:00:00,1.328,2.100,4.732,7.295,120.00,25.000
50,2024-01-02T00:30:00,1.293,2.340,4.908,7.367,122.00,24.950
51,2024-01-02T01:00:00,1.380,2.300,5.204,6.978,119.00,24.950
52,2024-01-02T01:30:00,1.366,2.310,4.987,7.887,115.00,24.950
53,2024-01-02T02:00:00,1.415,2.690,5.172,7.323,126.00,24.950
54,2024-01-02T02:30:00,1.526,2.870,5.156,6.155,109.00,24.950
55,2024-01-02T03:00:00,1.563,2.420,5.290,8.435,113.00,24.900
56,2024-01-02T03:30:00,1.630,2.550,5.219,6.643,97.00,24.900
57,2024-01-02T04:00:00,1.607,2.940,5.536,7.221,99.00,24.750
58,2024-01-02T04:30:00,1.665,3.510,5.650,7.404,95.00,24.550
59,2024-01-02T05:00:00,1.891,3.920,5.831,7.808,111.00,24.750
60,2024-01-02T05:30:00,1.987,3.090,5.863,8.105,112.00,24.750
61,2024-01-02T06:00:00,1.990,3.450,6.041,7.110,108.00,24.750
62,2024-01-02T06:30:00,2.362,3.600,6.436,8.123,94.00,24.650
63,2024-01-02T07:00:00,2.078,3.100,6.410,8.170,99.00,24.650
64,2024-01-02T07:30:00,2.018,2.950,6.058,7.834,97.00,24.600
65,2024-01-02T08:00:00,2.143,3.250,6.567,8.112,95.00,24.700
66,2024-01-02T08:30:00,2.041,3.320,5.778,7.880,85.00,24.750
67,2024-01-02T09:00:00,2.136,3.610,5.992,7.872,90.00,24.750
68,2024-01-02T09:30:00,2.099,4.000,5.836,7.629,92.00,24.750
69,2024-01-02T10:00:00,2.020,2.870,5.773,7.562,98.00,24.750
70,2024-01-02T10:30:00,1.999,3.360,5.495,7.943,101.00,24.800
71,2024-01-02T11:00:00,2.032,3.472,5.442,7.879,105.00,24.850
72,2024-01-02T11:30:00,2.056,4.789,5.503,7.972,97.00,24.850
73,2024-01-02T12:00:00,2.067,3.320,5.401,7.845,102.00,24.850
